"Year","Difference between predicted and achieved SQA advanced higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2011","-2 points","Asian","All","Main scheme application","20","15","0.842","0"
"2012","-2 points","Asian","All","Main scheme application","15","10"," ","0"
"2013","-2 points","Asian","All","Main scheme application","15","15","0.867","0"
"2014","-2 points","Asian","All","Main scheme application","20","15","0.778","0"
"2015","-2 points","Asian","All","Main scheme application","25","20","0.792","0"
"2016","-2 points","Asian","All","Main scheme application","20","15","0.65","0"
"2017","-2 points","Asian","All","Main scheme application","15","15","0.765","0"
"2018","-2 points","Asian","All","Main scheme application","25","20","0.76","0"
"2019","-2 points","Asian","All","Main scheme application","30","25","0.857","0"
"2020","-2 points","Asian","All","Main scheme application","25","20","0.84","0"
"2021","-2 points","Asian","All","Main scheme application","30","20","0.71","0"
"2022","-2 points","Asian","All","Main scheme application","40","30","0.8160000000000001","0"
"2023","-2 points","Asian","All","Main scheme application","60","60","0.9520000000000001","0"
"2010","-3 points","Asian","All","Main scheme application","10","5"," ","0"
"2011","-3 points","Asian","All","Main scheme application","10","10"," ","0"
"2012","-3 points","Asian","All","Main scheme application","20","15","0.778","0"
"2013","-3 points","Asian","All","Main scheme application","5","5"," ","0"
"2014","-3 points","Asian","All","Main scheme application","5","5"," ","0"
"2015","-3 points","Asian","All","Main scheme application","15","15","0.9410000000000001","0"
"2016","-3 points","Asian","All","Main scheme application","25","15","0.652","0"
"2017","-3 points","Asian","All","Main scheme application","20","15","0.75","0"
"2018","-3 points","Asian","All","Main scheme application","25","15","0.63","0"
"2019","-3 points","Asian","All","Main scheme application","20","15","0.737","0"
"2020","-3 points","Asian","All","Main scheme application","20","15","0.81","0"
"2021","-3 points","Asian","All","Main scheme application","10","10","0.917","0"
"2022","-3 points","Asian","All","Main scheme application","30","30","0.9380000000000001","0"
"2023","-3 points","Asian","All","Main scheme application","35","30","0.784","0"
"2010","-4 points","Asian","All","Main scheme application","5","5"," ","0"
"2011","-4 points","Asian","All","Main scheme application","10","5"," ","0"
"2012","-4 points","Asian","All","Main scheme application","20","15","0.7000000000000001","0"
"2013","-4 points","Asian","All","Main scheme application","20","15","0.789","0"
"2014","-4 points","Asian","All","Main scheme application","10","10"," ","0"
"2015","-4 points","Asian","All","Main scheme application","20","15","0.778","0"
"2016","-4 points","Asian","All","Main scheme application","10","5"," ","0"
"2017","-4 points","Asian","All","Main scheme application","20","10","0.5710000000000001","0"
"2018","-4 points","Asian","All","Main scheme application","10","10"," ","0"
"2019","-4 points","Asian","All","Main scheme application","20","20","0.8180000000000001","0"
"2020","-4 points","Asian","All","Main scheme application","15","10","0.786","0"
"2021","-4 points","Asian","All","Main scheme application","15","10","0.647","0"
"2022","-4 points","Asian","All","Main scheme application","25","20","0.704","0"
"2023","-4 points","Asian","All","Main scheme application","50","45","0.843","0"
"2010","-5 points","Asian","All","Main scheme application","5","5"," ","0"
"2011","-5 points","Asian","All","Main scheme application","5","5"," ","0"
"2012","-5 points","Asian","All","Main scheme application","5","5"," ","0"
"2013","-5 points","Asian","All","Main scheme application","5","5"," ","0"
"2014","-5 points","Asian","All","Main scheme application","5","5"," ","0"
"2015","-5 points","Asian","All","Main scheme application","15","10","0.786","0"
"2016","-5 points","Asian","All","Main scheme application","5","5"," ","0"
"2017","-5 points","Asian","All","Main scheme application","20","20","0.864","0"
"2018","-5 points","Asian","All","Main scheme application","10","5"," ","0"
"2019","-5 points","Asian","All","Main scheme application","15","10","0.857","0"
"2020","-5 points","Asian","All","Main scheme application","15","10"," ","0"
"2021","-5 points","Asian","All","Main scheme application","5","5"," ","0"
"2022","-5 points","Asian","All","Main scheme application","30","20","0.714","0"
"2023","-5 points","Asian","All","Main scheme application","30","20","0.714","0"
"2010","-6 points","Asian","All","Main scheme application","5","5"," ","0"
"2012","-6 points","Asian","All","Main scheme application","10","5"," ","0"
"2013","-6 points","Asian","All","Main scheme application","5","5"," ","0"
"2014","-6 points","Asian","All","Main scheme application","5","5"," ","0"
"2015","-6 points","Asian","All","Main scheme application","10","5"," ","0"
"2016","-6 points","Asian","All","Main scheme application","5","5"," ","0"
"2017","-6 points","Asian","All","Main scheme application","10","5"," ","0"
"2018","-6 points","Asian","All","Main scheme application","5","5"," ","0"
"2019","-6 points","Asian","All","Main scheme application","5","5"," ","0"
"2020","-6 points","Asian","All","Main scheme application","5","5"," ","0"
"2021","-6 points","Asian","All","Main scheme application","5","5"," ","0"
"2022","-6 points","Asian","All","Main scheme application","15","10","0.857","0"
"2023","-6 points","Asian","All","Main scheme application","15","15","0.8240000000000001","0"
"2010","Less than -6 points","Asian","All","Main scheme application","10","10"," ","0"
"2011","Less than -6 points","Asian","All","Main scheme application","10","5"," ","0"
"2012","Less than -6 points","Asian","All","Main scheme application","10","5"," ","0"
"2013","Less than -6 points","Asian","All","Main scheme application","10","5"," ","0"
"2014","Less than -6 points","Asian","All","Main scheme application","10","5"," ","0"
"2015","Less than -6 points","Asian","All","Main scheme application","20","15","0.842","0"
"2016","Less than -6 points","Asian","All","Main scheme application","15","15","0.8240000000000001","0"
"2017","Less than -6 points","Asian","All","Main scheme application","15","10","0.706","0"
"2018","Less than -6 points","Asian","All","Main scheme application","20","20","0.864","0"
"2019","Less than -6 points","Asian","All","Main scheme application","20","10","0.579","0"
"2020","Less than -6 points","Asian","All","Main scheme application","10","5"," ","0"
"2021","Less than -6 points","Asian","All","Main scheme application","15","10","0.706","0"
"2022","Less than -6 points","Asian","All","Main scheme application","30","25","0.774","0"
"2023","Less than -6 points","Asian","All","Main scheme application","35","30","0.811","0"
"2010","0 points","Mixed","All","Main scheme application","10","5"," ","0"
"2011","0 points","Mixed","All","Main scheme application","10","10"," ","0"
"2012","0 points","Mixed","All","Main scheme application","15","10","0.769","0"
"2013","0 points","Mixed","All","Main scheme application","15","15","0.875","0"
"2014","0 points","Mixed","All","Main scheme application","10","10","1","0"
"2015","0 points","Mixed","All","Main scheme application","15","15","0.875","0"
"2016","0 points","Mixed","All","Main scheme application","20","20","0.909","0"
"2017","0 points","Mixed","All","Main scheme application","20","20","0.9550000000000001","0"
"2018","0 points","Mixed","All","Main scheme application","25","20","0.88","0"
"2019","0 points","Mixed","All","Main scheme application","20","20","0.9550000000000001","0"
"2020","0 points","Mixed","All","Main scheme application","40","35","0.878","0"
"2021","0 points","Mixed","All","Main scheme application","60","50","0.847","0"
"2022","0 points","Mixed","All","Main scheme application","40","35","0.925","0"
"2023","0 points","Mixed","All","Main scheme application","45","45","0.9560000000000001","0"
"2020","1 points","Mixed","All","Main scheme application","5","5"," ","0"
"2021","1 points","Mixed","All","Main scheme application","5","5"," ","0"
"2023","1 points","Mixed","All","Main scheme application","5","0"," ","0"
"2010","-1 points","Mixed","All","Main scheme application","5","5"," ","0"
"2011","-1 points","Mixed","All","Main scheme application","5","5"," ","0"
"2012","-1 points","Mixed","All","Main scheme application","5","5"," ","0"
"2013","-1 points","Mixed","All","Main scheme application","5","5"," ","0"
"2014","-1 points","Mixed","All","Main scheme application","10","10"," ","0"
"2015","-1 points","Mixed","All","Main scheme application","15","15","0.929","0"
"2016","-1 points","Mixed","All","Main scheme application","15","15","1","0"
"2017","-1 points","Mixed","All","Main scheme application","10","10","0.917","0"
"2018","-1 points","Mixed","All","Main scheme application","10","5"," ","0"
"2019","-1 points","Mixed","All","Main scheme application","15","15","0.933","0"
"2020","-1 points","Mixed","All","Main scheme application","15","15","1","0"
"2021","-1 points","Mixed","All","Main scheme application","15","15","1","0"
"2022","-1 points","Mixed","All","Main scheme application","15","10","0.769","0"
"2023","-1 points","Mixed","All","Main scheme application","20","15","0.9440000000000001","0"
"2010","-2 points","Mixed","All","Main scheme application","5","5"," ","0"
"2011","-2 points","Mixed","All","Main scheme application","5","5"," ","0"
"2012","-2 points","Mixed","All","Main scheme application","10","5"," ","0"
"2013","-2 points","Mixed","All","Main scheme application","5","5"," ","0"
"2014","-2 points","Mixed","All","Main scheme application","10","5"," ","0"
"2015","-2 points","Mixed","All","Main scheme application","10","10","0.833","0"
"2016","-2 points","Mixed","All","Main scheme application","10","5"," ","0"
"2017","-2 points","Mixed","All","Main scheme application","10","5"," ","0"
"2018","-2 points","Mixed","All","Main scheme application","10","10","0.833","0"
"2019","-2 points","Mixed","All","Main scheme application","10","5"," ","0"
"2020","-2 points","Mixed","All","Main scheme application","5","5"," ","0"
"2021","-2 points","Mixed","All","Main scheme application","5","5"," ","0"
"2022","-2 points","Mixed","All","Main scheme application","20","15","0.85","0"
"2023","-2 points","Mixed","All","Main scheme application","20","20","1","0"
"2011","-3 points","Mixed","All","Main scheme application","5","5"," ","0"
"2012","-3 points","Mixed","All","Main scheme application","5","5"," ","0"
"2013","-3 points","Mixed","All","Main scheme application","5","5"," ","0"
"2014","-3 points","Mixed","All","Main scheme application","5","5"," ","0"
"2015","-3 points","Mixed","All","Main scheme application","5","5"," ","0"
"2017","-3 points","Mixed","All","Main scheme application","5","5"," ","0"
"2018","-3 points","Mixed","All","Main scheme application","5","0"," ","0"
"2019","-3 points","Mixed","All","Main scheme application","10","10"," ","0"
"2020","-3 points","Mixed","All","Main scheme application","10","10"," ","0"
"2021","-3 points","Mixed","All","Main scheme application","10","10"," ","0"
"2022","-3 points","Mixed","All","Main scheme application","15","15","1","0"
"2023","-3 points","Mixed","All","Main scheme application","15","15","1","0"
"2010","-4 points","Mixed","All","Main scheme application","5","5"," ","0"
"2014","-4 points","Mixed","All","Main scheme application","5","5"," ","0"
"2015","-4 points","Mixed","All","Main scheme application","5","5"," ","0"
"2016","-4 points","Mixed","All","Main scheme application","5","5"," ","0"
"2017","-4 points","Mixed","All","Main scheme application","5","5"," ","0"
"2018","-4 points","Mixed","All","Main scheme application","5","5"," ","0"
"2019","-4 points","Mixed","All","Main scheme application","5","5"," ","0"
"2020","-4 points","Mixed","All","Main scheme application","5","5"," ","0"
"2021","-4 points","Mixed","All","Main scheme application","10","10"," ","0"
"2022","-4 points","Mixed","All","Main scheme application","10","10"," ","0"
"2023","-4 points","Mixed","All","Main scheme application","10","10"," ","0"
"2011","-5 points","Mixed","All","Main scheme application","5","5"," ","0"
"2013","-5 points","Mixed","All","Main scheme application","5","5"," ","0"
"2014","-5 points","Mixed","All","Main scheme application","5","5"," ","0"
"2015","-5 points","Mixed","All","Main scheme application","5","5"," ","0"
"2016","-5 points","Mixed","All","Main scheme application","5","5"," ","0"
"2017","-5 points","Mixed","All","Main scheme application","5","5"," ","0"
"2018","-5 points","Mixed","All","Main scheme application","5","5"," ","0"
"2019","-5 points","Mixed","All","Main scheme application","5","5"," ","0"
"2021","-5 points","Mixed","All","Main scheme application","5","5"," ","0"
"2022","-5 points","Mixed","All","Main scheme application","10","10","1","0"
"2023","-5 points","Mixed","All","Main scheme application","10","10"," ","0"
"2010","-6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2013","-6 points","Mixed","All","Main scheme application","5","0"," ","0"
"2014","-6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2015","-6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2016","-6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2017","-6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2018","-6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2019","-6 points","Mixed","All","Main scheme application","5","0"," ","0"
"2020","-6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2022","-6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2023","-6 points","Mixed","All","Main scheme application","10","5"," ","0"
"2010","Less than -6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2011","Less than -6 points","Mixed","All","Main scheme application","10","10"," ","0"
"2012","Less than -6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2013","Less than -6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2014","Less than -6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2016","Less than -6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2017","Less than -6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2018","Less than -6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2019","Less than -6 points","Mixed","All","Main scheme application","10","5"," ","0"
"2020","Less than -6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2021","Less than -6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2022","Less than -6 points","Mixed","All","Main scheme application","5","5"," ","0"
"2023","Less than -6 points","Mixed","All","Main scheme application","10","10"," ","0"
"2010","0 points","Other","All","Main scheme application","5","5"," ","0"
"2013","0 points","Other","All","Main scheme application","5","5"," ","0"
"2014","0 points","Other","All","Main scheme application","10","5"," ","0"
"2015","0 points","Other","All","Main scheme application","5","0"," ","0"
"2016","0 points","Other","All","Main scheme application","10","5"," ","0"
"2017","0 points","Other","All","Main scheme application","5","5"," ","0"
"2018","0 points","Other","All","Main scheme application","5","5"," ","0"
"2019","0 points","Other","All","Main scheme application","10","5"," ","0"
"2020","0 points","Other","All","Main scheme application","5","5"," ","0"
"2021","0 points","Other","All","Main scheme application","15","10","0.588","0"
"2022","0 points","Other","All","Main scheme application","10","10"," ","0"
"2023","0 points","Other","All","Main scheme application","15","15","0.8130000000000001","0"
"2020","1 points","Other","All","Main scheme application","5","5"," ","0"
"2013","-1 points","Other","All","Main scheme application","5","5"," ","0"
"2015","-1 points","Other","All","Main scheme application","5","5"," ","0"
"2017","-1 points","Other","All","Main scheme application","5","0"," ","0"
"2019","-1 points","Other","All","Main scheme application","5","0"," ","0"
"2020","-1 points","Other","All","Main scheme application","10","5"," ","0"
"2021","-1 points","Other","All","Main scheme application","5","0"," ","0"
"2022","-1 points","Other","All","Main scheme application","5","5"," ","0"
"2023","-1 points","Other","All","Main scheme application","5","5"," ","0"
"2016","-2 points","Other","All","Main scheme application","5","5"," ","0"
"2018","-2 points","Other","All","Main scheme application","5","5"," ","0"
"2019","-2 points","Other","All","Main scheme application","5","5"," ","0"
"2020","-2 points","Other","All","Main scheme application","5","5"," ","0"
"2021","-2 points","Other","All","Main scheme application","5","5"," ","0"
"2022","-2 points","Other","All","Main scheme application","10","10"," ","0"
"2023","-2 points","Other","All","Main scheme application","5","5"," ","0"
"2016","-3 points","Other","All","Main scheme application","5","5"," ","0"
"2017","-3 points","Other","All","Main scheme application","5","5"," ","0"
"2020","-3 points","Other","All","Main scheme application","5","0"," ","0"
"2022","-3 points","Other","All","Main scheme application","5","0"," ","0"
"2023","-3 points","Other","All","Main scheme application","5","5"," ","0"
"2022","-4 points","Other","All","Main scheme application","5","5"," ","0"
"2023","-4 points","Other","All","Main scheme application","5","5"," ","0"
"2022","-5 points","Other","All","Main scheme application","5","0"," ","0"
"2023","-5 points","Other","All","Main scheme application","5","5"," ","0"
"2022","-6 points","Other","All","Main scheme application","5","0"," ","0"
"2012","Less than -6 points","Other","All","Main scheme application","5","5"," ","0"
"2017","Less than -6 points","Other","All","Main scheme application","5","5"," ","0"
"2019","Less than -6 points","Other","All","Main scheme application","5","5"," ","0"
"2022","Less than -6 points","Other","All","Main scheme application","15","15","0.933","0"
"2023","Less than -6 points","Other","All","Main scheme application","5","5"," ","0"
"2010","0 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2011","0 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2013","0 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2015","0 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2016","0 points","Unknown or Prefer Not To Say","All","Main scheme application","10","10"," ","0"
"2017","0 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2018","0 points","Unknown or Prefer Not To Say","All","Main scheme application","10","10"," ","0"
"2019","0 points","Unknown or Prefer Not To Say","All","Main scheme application","10","10","0.909","0"
"2020","0 points","Unknown or Prefer Not To Say","All","Main scheme application","10","10","0.909","0"
"2021","0 points","Unknown or Prefer Not To Say","All","Main scheme application","10","10"," ","0"
"2022","0 points","Unknown or Prefer Not To Say","All","Main scheme application","10","5"," ","0"
"2023","0 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2020","1 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2011","-1 points","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2016","-1 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2018","-1 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2019","-1 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2020","-1 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2022","-1 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2023","-1 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2017","-2 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2018","-2 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2021","-2 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2022","-2 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2023","-2 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2010","-3 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2017","-3 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2018","-3 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2022","-3 points","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2023","-3 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2011","-4 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2017","-4 points","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2018","-4 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2023","-4 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2016","-5 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2023","-6 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2018","Less than -6 points","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2010","All","White","All","Not main scheme application","45","45","0.935","0"
"2011","All","White","All","Not main scheme application","55","45","0.789","0"
"2012","All","White","All","Not main scheme application","70","55","0.8240000000000001","0"
"2013","All","White","All","Not main scheme application","55","50","0.891","0"
"2014","All","White","All","Not main scheme application","70","60","0.806","0"
"2015","All","White","All","Not main scheme application","70","60","0.859","0"
"2016","All","White","All","Not main scheme application","60","50","0.867","0"
"2017","All","White","All","Not main scheme application","60","50","0.79","0"
"2018","All","White","All","Not main scheme application","50","45","0.846","0"
"2019","All","White","All","Not main scheme application","60","55","0.919","0"
"2020","All","White","All","Not main scheme application","65","60","0.909","0"
"2021","All","White","All","Not main scheme application","45","35","0.8220000000000001","0"
"2022","All","White","All","Not main scheme application","55","45","0.804","0"
"2023","All","White","All","Not main scheme application","55","50","0.889","0"
"2017","All","Black","All","Not main scheme application","5","0"," ","0"
"2018","All","Black","All","Not main scheme application","5","5"," ","0"
"2020","All","Black","All","Not main scheme application","5","5"," ","0"
"2021","All","Black","All","Not main scheme application","5","5"," ","0"
"2022","All","Black","All","Not main scheme application","5","5"," ","0"
"2023","All","Black","All","Not main scheme application","5","5"," ","0"
"2010","All","Asian","All","Not main scheme application","5","5"," ","0"
"2011","All","Asian","All","Not main scheme application","5","0"," ","0"
"2012","All","Asian","All","Not main scheme application","10","10"," ","0"
"2013","All","Asian","All","Not main scheme application","10","10","1","0"
"2014","All","Asian","All","Not main scheme application","10","5"," ","0"
"2015","All","Asian","All","Not main scheme application","10","5"," ","0"
"2016","All","Asian","All","Not main scheme application","15","10","0.625","0"
"2017","All","Asian","All","Not main scheme application","20","15","0.762","0"
"2018","All","Asian","All","Not main scheme application","20","15","0.842","0"
"2019","All","Asian","All","Not main scheme application","15","10","0.8","0"
"2020","All","Asian","All","Not main scheme application","20","15","0.81","0"
"2021","All","Asian","All","Not main scheme application","20","15","0.727","0"
"2022","All","Asian","All","Not main scheme application","30","25","0.806","0"
"2023","All","Asian","All","Not main scheme application","25","20","0.9570000000000001","0"
"2012","All","Mixed","All","Not main scheme application","5","5"," ","0"
"2013","All","Mixed","All","Not main scheme application","5","0"," ","0"
"2014","All","Mixed","All","Not main scheme application","5","0"," ","0"
"2019","All","Mixed","All","Not main scheme application","5","5"," ","0"
"2020","All","Mixed","All","Not main scheme application","5","5"," ","0"
"2022","All","Mixed","All","Not main scheme application","5","5"," ","0"
"2023","All","Mixed","All","Not main scheme application","5","5"," ","0"
"2017","All","Other","All","Not main scheme application","5","5"," ","0"
"2019","All","Other","All","Not main scheme application","5","5"," ","0"
"2022","All","Other","All","Not main scheme application","5","5"," ","0"
"2010","All","White","All","Main scheme application","1820","1630","0.897","0"
"2011","All","White","All","Main scheme application","1920","1720","0.896","0"
"2012","All","White","All","Main scheme application","1885","1645","0.873","0"
"2013","All","White","All","Main scheme application","2065","1860","0.899","0"
"2014","All","White","All","Main scheme application","2000","1780","0.89","0"
"2015","All","White","All","Main scheme application","2075","1835","0.885","0"
"2016","All","White","All","Main scheme application","2035","1810","0.891","0"
"2017","All","White","All","Main scheme application","2000","1790","0.895","0"
"2018","All","White","All","Main scheme application","2060","1855","0.901","0"
"2019","All","White","All","Main scheme application","1930","1735","0.9","0"
"2020","All","White","All","Main scheme application","1875","1685","0.899","0"
"2021","All","White","All","Main scheme application","2225","2025","0.911","0"
"2022","All","White","All","Main scheme application","2210","1995","0.901","0"
"2023","All","White","All","Main scheme application","2255","2085","0.925","0"
"2010","All","Black","All","Main scheme application","5","5"," ","0"
"2011","All","Black","All","Main scheme application","10","10"," ","0"
"2012","All","Black","All","Main scheme application","15","10","0.714","0"
"2013","All","Black","All","Main scheme application","20","15","0.789","0"
"2014","All","Black","All","Main scheme application","10","10","1","0"
"2015","All","Black","All","Main scheme application","10","10"," ","0"
"2016","All","Black","All","Main scheme application","20","15","0.833","0"
"2017","All","Black","All","Main scheme application","20","15","0.75","0"
"2018","All","Black","All","Main scheme application","35","30","0.784","0"
"2019","All","Black","All","Main scheme application","25","20","0.913","0"
"2020","All","Black","All","Main scheme application","45","40","0.848","0"
"2021","All","Black","All","Main scheme application","50","35","0.771","0"
"2022","All","Black","All","Main scheme application","50","40","0.78","0"
"2023","All","Black","All","Main scheme application","90","80","0.92","0"
"2010","All","Asian","All","Main scheme application","90","75","0.8130000000000001","0"
"2011","All","Asian","All","Main scheme application","95","75","0.811","0"
"2012","All","Asian","All","Main scheme application","120","90","0.742","0"
"2013","All","Asian","All","Main scheme application","120","95","0.79","0"
"2014","All","Asian","All","Main scheme application","120","105","0.866","0"
"2015","All","Asian","All","Main scheme application","180","150","0.844","0"
"2016","All","Asian","All","Main scheme application","180","145","0.81","0"
"2017","All","Asian","All","Main scheme application","190","150","0.784","0"
"2018","All","Asian","All","Main scheme application","190","155","0.811","0"
"2019","All","Asian","All","Main scheme application","215","185","0.847","0"
"2020","All","Asian","All","Main scheme application","270","225","0.8240000000000001","0"
"2021","All","Asian","All","Main scheme application","265","210","0.792","0"
"2022","All","Asian","All","Main scheme application","345","290","0.833","0"
"2023","All","Asian","All","Main scheme application","410","360","0.88","0"
"2010","All","Mixed","All","Main scheme application","35","30","0.833","0"
"2011","All","Mixed","All","Main scheme application","50","45","0.9380000000000001","0"
"2012","All","Mixed","All","Main scheme application","45","35","0.795","0"
"2013","All","Mixed","All","Main scheme application","50","40","0.84","0"
"2014","All","Mixed","All","Main scheme application","55","45","0.796","0"
"2015","All","Mixed","All","Main scheme application","65","55","0.836","0"
"2016","All","Mixed","All","Main scheme application","65","60","0.922","0"
"2017","All","Mixed","All","Main scheme application","70","60","0.857","0"
"2018","All","Mixed","All","Main scheme application","70","60","0.847","0"
"2019","All","Mixed","All","Main scheme application","75","65","0.842","0"
"2020","All","Mixed","All","Main scheme application","90","80","0.9","0"
"2021","All","Mixed","All","Main scheme application","110","100","0.891","0"
"2022","All","Mixed","All","Main scheme application","125","115","0.904","0"
"2023","All","Mixed","All","Main scheme application","140","130","0.915","0"
"2010","All","Other","All","Main scheme application","10","5"," ","0"
"2011","All","Other","All","Main scheme application","10","5"," ","0"
"2012","All","Other","All","Main scheme application","10","10"," ","0"
"2013","All","Other","All","Main scheme application","10","5"," ","0"
"2014","All","Other","All","Main scheme application","15","10","0.667","0"
"2015","All","Other","All","Main scheme application","15","10","0.667","0"
"2016","All","Other","All","Main scheme application","20","15","0.842","0"
"2017","All","Other","All","Main scheme application","20","15","0.7000000000000001","0"
"2018","All","Other","All","Main scheme application","20","20","1","0"
"2019","All","Other","All","Main scheme application","25","15","0.652","0"
"2020","All","Other","All","Main scheme application","30","25","0.793","0"
"2021","All","Other","All","Main scheme application","30","25","0.719","0"
"2022","All","Other","All","Main scheme application","60","45","0.767","0"
"2023","All","Other","All","Main scheme application","50","45","0.843","0"
"2010","All","Unknown or Prefer Not To Say","All","Main scheme application","15","10"," ","0"
"2011","All","Unknown or Prefer Not To Say","All","Main scheme application","15","15","0.929","0"
"2012","All","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2013","All","Unknown or Prefer Not To Say","All","Main scheme application","10","10"," ","0"
"2014","All","Unknown or Prefer Not To Say","All","Main scheme application","10","10"," ","0"
"2015","All","Unknown or Prefer Not To Say","All","Main scheme application","10","10","0.917","0"
"2016","All","Unknown or Prefer Not To Say","All","Main scheme application","20","15","0.81","0"
"2017","All","Unknown or Prefer Not To Say","All","Main scheme application","20","20","0.864","0"
"2018","All","Unknown or Prefer Not To Say","All","Main scheme application","30","30","0.903","0"
"2019","All","Unknown or Prefer Not To Say","All","Main scheme application","25","20","0.88","0"
"2020","All","Unknown or Prefer Not To Say","All","Main scheme application","25","20","0.913","0"
"2021","All","Unknown or Prefer Not To Say","All","Main scheme application","20","15","0.727","0"
"2022","All","Unknown or Prefer Not To Say","All","Main scheme application","30","25","0.767","0"
"2023","All","Unknown or Prefer Not To Say","All","Main scheme application","30","25","0.857","0"
"2010","0 points","All","All","Not main scheme application","5","5"," ","0"
"2011","0 points","All","All","Not main scheme application","10","5"," ","0"
"2012","0 points","All","All","Not main scheme application","5","5"," ","0"
"2013","0 points","All","All","Not main scheme application","10","10"," ","0"
"2014","0 points","All","All","Not main scheme application","10","10"," ","0"
"2015","0 points","All","All","Not main scheme application","10","10","0.909","0"
"2016","0 points","All","All","Not main scheme application","15","15","1","0"
"2017","0 points","All","All","Not main scheme application","10","10"," ","0"
"2018","0 points","All","All","Not main scheme application","15","15","0.929","0"
"2019","0 points","All","All","Not main scheme application","10","10"," ","0"
"2020","0 points","All","All","Not main scheme application","30","25","0.867","0"
"2021","0 points","All","All","Not main scheme application","15","10","0.8","0"
"2022","0 points","All","All","Not main scheme application","10","10","0.917","0"
"2023","0 points","All","All","Not main scheme application","15","15","0.929","0"
"2011","1 points","All","All","Not main scheme application","5","5"," ","0"
"2021","1 points","All","All","Not main scheme application","5","0"," ","0"
"2022","2 points","All","All","Not main scheme application","5","5"," ","0"
"2010","-1 points","All","All","Not main scheme application","5","5"," ","0"
"2011","-1 points","All","All","Not main scheme application","5","0"," ","0"
"2012","-1 points","All","All","Not main scheme application","10","10","0.909","0"
"2013","-1 points","All","All","Not main scheme application","15","15","1","0"
"2014","-1 points","All","All","Not main scheme application","10","5"," ","0"
"2015","-1 points","All","All","Not main scheme application","10","10"," ","0"
"2016","-1 points","All","All","Not main scheme application","10","5"," ","0"
"2017","-1 points","All","All","Not main scheme application","15","10","0.75","0"
"2018","-1 points","All","All","Not main scheme application","10","10"," ","0"
